id,name,country,region_fullname,winary_fullname,url,bottle_url
2288157,Contador de Estorias Reserva,Portugal,Península de Setúbal,Manz,https://www.vivino.com/US-CA/en/contador-de-estorias-reserva/w/2288157,https://images.vivino.com/thumbs/seFVaqC8Roe-x5BKzA85Gw_150x200.jpg
1268582,Pôpa TR,Portugal,Douro,Quinta do Pôpa,https://www.vivino.com/US-CA/en/popa-tr/w/1268582,https://images.vivino.com/thumbs/G4XC7bP7S6ubzUpjDy8XHA_pb_x600.png
8597368,Artesano by Helena,Portugal,Alentejo,Elite Vinhos,https://www.vivino.com/US-CA/en/artesano-by-helena/w/8597368,https://images.vivino.com/thumbs/3CsKB4cwR5mVkzUbyT72_A_pb_x600.png
7775163,Alyantiju Branco,Portugal,Vidigueira,Herdade Aldeia de Cima,https://www.vivino.com/US-CA/en/alyantiju-branco/w/7775163,https://images.vivino.com/thumbs/tsAz2EetSn2QWa4YFp_cpg_pb_x600.png
5990875,Cabriolet,Portugal,Alentejano,Susana Esteban,https://www.vivino.com/US-CA/en/cabriolet-alentejano/w/5990875,https://images.vivino.com/thumbs/IubpMFK2SgeHrs9CnwUPAA_pb_x600.png
3856887,Telhas Alentejano Branco,Portugal,Alentejano,Terra d'Alter,https://www.vivino.com/US-CA/en/telhas-alentejano-branco/w/3856887,https://images.vivino.com/thumbs/xdv-LA-ZSnG1RtG4L4AsYA_pb_x600.png
1212859,Vintage Port,Portugal,Porto,Quinta Vale D. Maria,https://www.vivino.com/US-CA/en/vintage-port/w/1212859,https://images.vivino.com/thumbs/kNWi4NufQGG3KaONAweZXA_pb_x600.png
16392,Meruge Tinto,Portugal,Douro,Lavradores de Feitoria,https://www.vivino.com/US-CA/en/meruge-tinto/w/16392,https://images.vivino.com/thumbs/nqn3hTUiTPWLCrwM6m9ufQ_pb_x600.png
1295490,Reserva,Portugal,Douro,Quinta de S. José,https://www.vivino.com/US-CA/en/reserva/w/1295490,https://images.vivino.com/thumbs/fDxS0JOVS_i6gloc9OKdSQ_pb_x600.png
5964894,Aged 30 Years Tawny Porto,Portugal,Porto,Palmer,https://www.vivino.com/US-CA/en/aged-30-years-tawny-porto/w/5964894,https://images.vivino.com/thumbs/5hFxDuvJSeWRnnJ87luCTw_pb_x600.png
4835815,Adrianna Vineyard River Stones Malbec,Argentina,Mendoza,Catena Zapata,https://www.vivino.com/US-CA/en/adrianna-vineyard-river-stones-malbec/w/4835815,https://images.vivino.com/thumbs/nJVKE4QhQ8ayYG8MfdIJQA_pb_x600.png
1869,Malbec Argentino,Argentina,Mendoza,Catena Zapata,https://www.vivino.com/US-CA/en/malbec-argentino/w/1869,https://images.vivino.com/thumbs/L5BuSPpXRXW2ej3KxsgOxg_pb_x600.png
1724358,Red,Argentina,Agrelo,Nosotros,https://www.vivino.com/US-CA/en/red/w/1724358,https://images.vivino.com/thumbs/VxGqxhU0TqWmUqByG5gZiw_pb_x600.png
1235058,Gran Enemigo,Argentina,Mendoza,El Enemigo,https://www.vivino.com/US-CA/en/gran-enemigo/w/1235058,https://images.vivino.com/thumbs/KuL7GxB6TU2hb_qvozBFRA_pb_x600.png
